Flat Size,Location,Builder's Rating,Area Type,Neighborhood Tier,Crime Rate,Floor Number,Age of Property,Nearby Amenities,Green Cover,Market Demand,Security Features,RERA-Approved,Urban Integration Index,Flat Price (in Lakhs)
1BHK,Hyderabad,C,Residential,Affordable,Medium,12,8,High,0.9,1.14,Advanced,1,0.75,62.46
1BHK,Bangalore,D,Residential,Mid-Range,Low,14,39,High,0.64,0.93,Basic,1,0.64,69.01
2BHK,Bangalore,C,Commercial,Affordable,Medium,20,44,Medium,0.52,1.36,Basic,1,0.72,144.57
1BHK,Mumbai,A,Residential,Affordable,Low,3,48,Low,0.41,1.08,Premium,0,0.55,111.37
2BHK,Kolkata,C,Residential,Mid-Range,Low,2,44,Medium,0.71,1.31,Basic,1,0.56,107.33
3BHK,Hyderabad,B,Residential,Affordable,Medium,14,27,Medium,0.38,1.31,Premium,0,0.55,169.67
2BHK,Bangalore,A,Residential,High-End,Medium,5,21,Medium,0.54,1.17,Premium,0,0.28,276.27
1BHK,Chennai,A,Commercial,High-End,High,19,36,High,0.73,1.34,Basic,1,0.49,231.07
1BHK,Kolkata,A,Commercial,High-End,Medium,7,47,Low,0.67,1.37,Basic,0,0.65,182.01
1BHK,Delhi,A,Residential,High-End,Low,14,27,Low,0.44,1.34,Basic,0,0.9,240.38
1BHK,Mumbai,C,Industrial,Mid-Range,Low,4,12,Low,0.36,1.36,Basic,1,0.89,105.04
2BHK,Kolkata,C,Commercial,Mid-Range,Low,5,40,High,0.13,1.1,Premium,0,0.68,94.08
3BHK,Kolkata,B,Residential,High-End,Medium,1,33,High,0.55,1.05,Basic,1,0.29,173.22
2BHK,Mumbai,A,Residential,Affordable,Medium,3,4,Low,0.11,1.38,Advanced,1,0.55,192.77
3BHK,Mumbai,A,Commercial,Affordable,High,9,26,High,0.2,1.26,Basic,0,0.61,269.15
4BHK,Bangalore,B,Residential,Affordable,Medium,2,1,Medium,0.19,0.85,Basic,1,0.69,174.92
2BHK,Hyderabad,B,Residential,Mid-Range,High,9,6,Low,0.28,1.45,Basic,1,0.24,184.1
1BHK,Mumbai,B,Residential,Affordable,Medium,17,18,Medium,0.27,1.46,Advanced,0,0.65,116.81
2BHK,Mumbai,C,Residential,Affordable,High,7,24,Low,0.86,0.86,Advanced,0,0.24,104.27
4BHK,Hyderabad,B,Residential,Mid-Range,High,6,45,Low,0.32,1.14,Basic,1,0.75,297.27
1BHK,Mumbai,C,Residential,Affordable,Low,13,34,Medium,0.64,0.83,Advanced,0,0.36,57.53
4BHK,Delhi,C,Commercial,High-End,Medium,8,35,Medium,0.83,1.1,Basic,1,0.88,596.28
3BHK,Bangalore,A,Industrial,Affordable,Medium,16,17,Low,0.64,1.01,Premium,1,0.43,151.29
1BHK,Hyderabad,C,Residential,Affordable,Medium,7,22,Low,0.41,0.99,Basic,1,0.82,48.58
4BHK,Bangalore,B,Residential,High-End,Medium,16,5,Medium,0.56,1.26,Basic,1,0.73,538.3
3BHK,Chennai,C,Industrial,Mid-Range,High,20,9,Medium,0.87,1.37,Basic,0,0.74,158.98
2BHK,Chennai,B,Residential,Affordable,High,2,24,Low,0.68,1.04,Premium,0,0.48,93.34
1BHK,Chennai,A,Residential,Affordable,High,6,13,Low,0.43,1.2,Basic,0,0.72,75.27
3BHK,Bangalore,C,Residential,Mid-Range,Low,19,41,Medium,0.9,1.11,Advanced,0,0.41,201.81
2BHK,Kolkata,C,Residential,Mid-Range,Medium,2,44,High,0.26,1.4,Premium,0,0.2,108.6
3BHK,Bangalore,D,Commercial,Affordable,High,14,36,Medium,0.62,1.04,Basic,0,0.86,145.09
2BHK,Chennai,B,Residential,High-End,Medium,1,31,Medium,0.59,1.04,Basic,0,0.79,163.82
2BHK,Chennai,D,Residential,Mid-Range,Medium,1,13,Medium,0.51,1.07,Advanced,1,0.51,93.12
1BHK,Bangalore,C,Industrial,Mid-Range,Low,8,9,Medium,0.86,1.14,Basic,0,0.67,76.84
3BHK,Hyderabad,D,Residential,Mid-Range,Low,13,11,Medium,0.65,0.94,Advanced,0,0.31,121.12
2BHK,Kolkata,B,Residential,Affordable,Low,17,42,Medium,0.74,1.14,Basic,1,0.21,84.96
1BHK,Delhi,C,Commercial,Mid-Range,Medium,2,31,Low,0.57,0.83,Advanced,1,0.3,103.2
3BHK,Bangalore,B,Residential,High-End,Medium,14,40,Low,0.23,1.26,Basic,0,0.26,340.56
2BHK,Mumbai,C,Residential,Affordable,Low,19,1,Medium,0.42,1.09,Premium,0,0.84,109.63
3BHK,Chennai,C,Commercial,Affordable,Medium,9,50,Low,0.42,1.1,Advanced,1,0.43,119.31
3BHK,Kolkata,C,Industrial,Affordable,Medium,7,39,Medium,0.89,1.47,Premium,1,0.53,88.92
3BHK,Hyderabad,C,Residential,Mid-Range,Medium,20,39,Low,0.29,1.17,Premium,0,0.25,171.68
3BHK,Kolkata,C,Residential,Affordable,High,4,1,Medium,0.73,1.43,Advanced,0,0.55,115.25
3BHK,Hyderabad,A,Residential,High-End,High,1,6,Medium,0.68,1.18,Advanced,1,0.75,362.77
3BHK,Delhi,D,Commercial,Mid-Range,Low,9,11,Medium,0.52,0.84,Basic,1,0.22,165.09
1BHK,Bangalore,D,Commercial,Affordable,Low,3,28,High,0.13,1.45,Premium,1,0.47,85.17
3BHK,Delhi,A,Residential,High-End,Low,14,21,Medium,0.54,1.06,Advanced,0,0.72,389.3
3BHK,Hyderabad,B,Industrial,Mid-Range,High,5,16,Low,0.81,1.05,Premium,0,0.33,176.57
2BHK,Kolkata,C,Residential,Mid-Range,Medium,16,37,Medium,0.17,0.97,Advanced,1,0.22,67.72
3BHK,Mumbai,A,Residential,High-End,Low,11,26,Medium,0.17,1.3,Basic,1,0.39,469.05
1BHK,Mumbai,B,Residential,Mid-Range,High,2,25,Medium,0.51,1.04,Basic,1,0.8,144.63
1BHK,Delhi,B,Commercial,Mid-Range,High,13,36,Low,0.76,1.4,Basic,1,0.49,218.29
2BHK,Kolkata,C,Commercial,Mid-Range,Medium,14,45,Medium,0.63,0.84,Premium,0,0.76,84.56
1BHK,Delhi,C,Residential,Affordable,High,5,15,Medium,0.81,1.47,Basic,1,0.43,103.91
3BHK,Hyderabad,C,Residential,Affordable,Medium,15,44,High,0.84,1.34,Basic,0,0.8,156.38
3BHK,Mumbai,A,Residential,Affordable,Low,19,39,Medium,0.22,1.33,Basic,1,0.31,255.53
2BHK,Chennai,C,Residential,Affordable,Medium,9,6,Medium,0.58,0.87,Basic,1,0.77,56.25
2BHK,Bangalore,A,Residential,Mid-Range,Medium,14,21,Medium,0.7,1.13,Premium,0,0.86,226.25
2BHK,Mumbai,C,Residential,Affordable,Medium,14,28,Low,0.77,1.43,Premium,0,0.39,182.77
4BHK,Hyderabad,B,Residential,Affordable,Low,4,1,High,0.44,0.9,Advanced,0,0.41,148.69
3BHK,Mumbai,A,Commercial,Mid-Range,High,6,45,Low,0.85,0.9,Basic,1,0.62,354.95
2BHK,Bangalore,B,Residential,High-End,Medium,17,43,Low,0.53,1.47,Advanced,1,0.35,297.63
3BHK,Kolkata,C,Commercial,High-End,Medium,2,35,Low,0.63,1.11,Basic,1,0.55,199.96
4BHK,Hyderabad,B,Residential,Mid-Range,High,17,21,Medium,0.51,0.92,Premium,1,0.41,261.65
2BHK,Delhi,C,Residential,High-End,Medium,16,19,Low,0.82,1.32,Advanced,1,0.33,297.82
1BHK,Bangalore,D,Residential,Mid-Range,Medium,15,7,High,0.69,0.81,Advanced,0,0.25,66.64
4BHK,Mumbai,C,Residential,Affordable,Low,17,18,Medium,0.52,1.49,Advanced,0,0.75,295.63
2BHK,Bangalore,C,Residential,Affordable,Medium,9,28,Low,0.16,0.94,Basic,1,0.36,67.06
1BHK,Kolkata,D,Residential,High-End,Low,4,15,Medium,0.59,1.29,Advanced,0,0.28,85.63
3BHK,Bangalore,D,Industrial,High-End,High,2,44,Low,0.45,1.35,Basic,1,0.28,198.86
4BHK,Bangalore,C,Commercial,Mid-Range,Medium,10,1,Low,0.14,1.36,Basic,0,0.83,337.18
2BHK,Mumbai,C,Commercial,Affordable,High,14,5,Medium,0.38,0.83,Basic,0,0.45,98.3
4BHK,Hyderabad,C,Residential,Affordable,Medium,1,38,Medium,0.37,1.19,Basic,1,0.7,165.65
3BHK,Chennai,B,Residential,High-End,Medium,12,17,Medium,0.16,1.34,Basic,1,0.3,245.9
3BHK,Chennai,C,Commercial,Affordable,High,5,20,Medium,0.66,1.4,Premium,0,0.21,143.63
4BHK,Delhi,A,Industrial,Mid-Range,Low,18,33,Low,0.65,1.15,Advanced,1,0.27,363.73
4BHK,Hyderabad,B,Residential,Mid-Range,High,17,41,Low,0.44,1.17,Advanced,0,0.84,306.98
2BHK,Mumbai,C,Residential,Affordable,High,19,42,Low,0.68,1.25,Advanced,0,0.31,149.18
3BHK,Mumbai,A,Residential,Affordable,Medium,15,49,Low,0.84,1.48,Basic,1,0.8,337.76
2BHK,Delhi,A,Residential,Affordable,Medium,12,33,High,0.58,1.15,Basic,1,0.62,157.01
2BHK,Kolkata,C,Commercial,Affordable,Low,5,42,Medium,0.38,1.03,Premium,0,0.65,60.89
2BHK,Kolkata,B,Residential,Affordable,Medium,2,25,High,0.53,0.96,Advanced,1,0.67,58.84
3BHK,Kolkata,C,Residential,Affordable,Medium,1,14,Low,0.16,1.41,Advanced,0,0.21,91.65
2BHK,Mumbai,B,Residential,Affordable,Medium,5,47,Medium,0.28,1.06,Premium,1,0.82,131.06
2BHK,Kolkata,B,Residential,High-End,High,18,12,High,0.54,0.87,Basic,1,0.66,117.76
2BHK,Mumbai,D,Residential,Affordable,Low,16,5,High,0.53,1.06,Basic,1,0.32,93.23
3BHK,Hyderabad,B,Residential,Mid-Range,Medium,2,5,Medium,0.51,1.31,Premium,1,0.51,237.79
3BHK,Mumbai,B,Residential,High-End,Medium,15,21,Low,0.27,1.43,Advanced,1,0.27,506.3
3BHK,Hyderabad,D,Industrial,Affordable,Low,15,29,Medium,0.72,1.4,Premium,1,0.7,109.88
2BHK,Bangalore,B,Residential,Mid-Range,Medium,7,8,Medium,0.36,1.09,Basic,0,0.69,162.63
3BHK,Hyderabad,D,Residential,Mid-Range,Low,4,19,Medium,0.4,1.04,Basic,0,0.71,123.02
3BHK,Delhi,C,Industrial,Affordable,Low,9,22,High,0.19,0.83,Premium,1,0.31,85.04
1BHK,Chennai,D,Residential,Affordable,High,14,3,High,0.28,1.09,Basic,1,0.39,39.5
1BHK,Bangalore,C,Residential,Mid-Range,Low,1,35,Low,0.64,1.22,Basic,0,0.44,109.62
1BHK,Mumbai,B,Residential,Affordable,Low,20,25,Low,0.88,1.17,Basic,0,0.28,118.2
3BHK,Hyderabad,B,Residential,Affordable,Low,7,15,Medium,0.43,0.98,Premium,1,0.38,108.61
2BHK,Chennai,C,Residential,Mid-Range,Medium,9,45,Low,0.83,1.06,Advanced,1,0.5,106.21
2BHK,Chennai,C,Residential,Affordable,Medium,12,48,Medium,0.48,1.23,Basic,0,0.75,72.5
3BHK,Mumbai,B,Residential,Affordable,Low,8,7,Low,0.68,1.27,Premium,0,0.41,246.89
2BHK,Delhi,B,Industrial,Mid-Range,Medium,4,4,Low,0.56,1.49,Basic,0,0.64,215.06
2BHK,Mumbai,D,Residential,Affordable,Medium,4,5,Medium,0.16,0.83,Advanced,1,0.79,72.03
2BHK,Chennai,B,Residential,Affordable,Low,9,47,High,0.47,0.94,Basic,1,0.35,75.41
3BHK,Kolkata,A,Commercial,Mid-Range,Medium,17,18,Medium,0.7,1.49,Premium,1,0.47,255.65
2BHK,Bangalore,C,Residential,Affordable,Medium,1,34,High,0.38,0.84,Basic,1,0.27,73.09
3BHK,Kolkata,C,Residential,Affordable,Medium,3,25,Medium,0.48,1.33,Basic,1,0.59,90.4
3BHK,Chennai,C,Residential,Affordable,Low,4,49,Low,0.83,0.81,Basic,1,0.77,80.74
3BHK,Chennai,B,Residential,Mid-Range,High,4,1,Low,0.11,1.11,Advanced,1,0.31,153.54
2BHK,Mumbai,D,Residential,Affordable,Medium,15,41,Medium,0.8,0.84,Advanced,1,0.82,88.19
1BHK,Chennai,B,Residential,Mid-Range,Low,17,5,Medium,0.33,1.46,Premium,1,0.24,114.03
3BHK,Kolkata,B,Residential,Affordable,Medium,3,18,High,0.72,1.46,Basic,1,0.82,145.22
3BHK,Chennai,C,Industrial,Mid-Range,Medium,11,8,Low,0.15,1.43,Basic,1,0.4,122.99
4BHK,Delhi,B,Residential,Mid-Range,Low,11,46,Low,0.71,0.85,Basic,1,0.86,279.46
1BHK,Bangalore,B,Residential,Affordable,Medium,16,6,Low,0.83,1.23,Advanced,1,0.47,89.22
3BHK,Bangalore,C,Residential,Affordable,Low,13,13,Low,0.19,1.13,Premium,0,0.22,129.31
2BHK,Bangalore,C,Residential,Affordable,Low,4,11,Medium,0.11,1.37,Premium,1,0.4,110.39
4BHK,Chennai,C,Residential,High-End,Medium,20,43,Low,0.54,1.08,Premium,1,0.66,295.85
2BHK,Hyderabad,C,Commercial,Mid-Range,Low,13,43,Medium,0.41,1.11,Advanced,0,0.88,150.23
4BHK,Hyderabad,B,Residential,Mid-Range,Low,18,33,Medium,0.16,1.32,Advanced,0,0.51,292.33
2BHK,Hyderabad,B,Commercial,Mid-Range,Medium,15,40,High,0.11,0.95,Premium,1,0.44,147.0
3BHK,Mumbai,B,Commercial,Mid-Range,Low,6,47,High,0.14,1.4,Advanced,0,0.89,403.68
3BHK,Kolkata,B,Industrial,High-End,Medium,13,12,Medium,0.68,1.36,Basic,1,0.44,208.19
1BHK,Delhi,A,Residential,Affordable,Low,16,20,Low,0.3,1.44,Basic,1,0.5,140.46
1BHK,Hyderabad,A,Commercial,Mid-Range,Medium,7,18,High,0.13,1.38,Basic,0,0.27,145.39
2BHK,Chennai,C,Industrial,Mid-Range,Medium,18,44,Medium,0.28,1.45,Basic,1,0.41,100.86
2BHK,Hyderabad,B,Residential,Affordable,High,6,44,Medium,0.9,1.22,Premium,0,0.66,129.52
3BHK,Bangalore,B,Commercial,Mid-Range,High,19,20,Medium,0.81,1.45,Basic,1,0.34,413.67
2BHK,Delhi,D,Residential,Affordable,High,19,16,Medium,0.58,1.43,Premium,1,0.26,136.16
3BHK,Chennai,B,Residential,Mid-Range,Low,19,36,Low,0.18,1.45,Premium,0,0.4,215.86
4BHK,Mumbai,D,Residential,Affordable,Medium,6,30,Medium,0.16,1.12,Basic,1,0.29,202.08
3BHK,Chennai,D,Commercial,Affordable,Medium,13,46,Medium,0.43,1.35,Basic,0,0.36,134.75
3BHK,Chennai,B,Commercial,Mid-Range,Low,1,36,Low,0.87,1.2,Advanced,0,0.62,243.64
2BHK,Chennai,B,Commercial,Mid-Range,Medium,2,50,Medium,0.82,1.0,Advanced,1,0.58,142.0
2BHK,Mumbai,D,Residential,Affordable,Medium,18,44,Low,0.13,0.97,Basic,1,0.32,87.48
3BHK,Bangalore,C,Commercial,Mid-Range,High,4,25,Medium,0.15,1.3,Premium,0,0.48,227.73
1BHK,Hyderabad,B,Residential,High-End,Low,15,4,Medium,0.22,1.05,Advanced,0,0.56,131.08
3BHK,Bangalore,B,Residential,Affordable,Low,10,43,Low,0.47,0.97,Basic,1,0.88,140.82
1BHK,Mumbai,C,Residential,Affordable,Medium,1,25,High,0.13,1.33,Basic,1,0.83,94.58
1BHK,Hyderabad,B,Industrial,Mid-Range,High,19,48,Medium,0.88,1.31,Basic,1,0.63,93.64
3BHK,Kolkata,B,Residential,High-End,High,17,22,High,0.5,1.25,Basic,1,0.6,242.65
2BHK,Chennai,B,Residential,Affordable,High,11,5,Medium,0.66,0.93,Premium,0,0.37,84.75
3BHK,Delhi,C,Residential,Affordable,High,19,3,High,0.33,0.91,Advanced,1,0.45,106.14
3BHK,Bangalore,B,Residential,Mid-Range,Medium,15,44,Medium,0.42,1.37,Advanced,0,0.75,261.79
4BHK,Delhi,B,Residential,High-End,Low,4,36,Medium,0.67,1.34,Premium,1,0.27,691.57
3BHK,Mumbai,B,Residential,Mid-Range,Medium,14,30,Medium,0.25,1.06,Premium,1,0.33,230.22
3BHK,Hyderabad,A,Residential,Mid-Range,High,17,26,Medium,0.89,0.86,Basic,1,0.23,196.5
4BHK,Hyderabad,B,Commercial,Mid-Range,Low,5,6,Medium,0.37,1.34,Advanced,0,0.75,379.74
3BHK,Chennai,A,Residential,Affordable,Low,1,49,Medium,0.33,1.27,Basic,1,0.62,147.9
1BHK,Kolkata,C,Residential,Affordable,High,14,13,Medium,0.15,1.35,Advanced,0,0.29,46.14
2BHK,Bangalore,C,Residential,High-End,Medium,6,9,Medium,0.55,0.98,Advanced,1,0.36,167.58
3BHK,Bangalore,C,Commercial,High-End,Medium,9,16,Medium,0.23,0.93,Advanced,1,0.51,262.73
2BHK,Bangalore,B,Residential,Mid-Range,Low,15,9,Medium,0.27,1.01,Basic,1,0.83,145.38
1BHK,Hyderabad,D,Residential,Affordable,Medium,7,25,Medium,0.77,1.12,Advanced,0,0.68,54.5
2BHK,Delhi,A,Residential,Affordable,High,7,27,Medium,0.14,1.4,Basic,0,0.67,168.06
2BHK,Chennai,D,Residential,Affordable,High,8,47,Medium,0.71,1.27,Advanced,1,0.77,78.87
3BHK,Kolkata,B,Commercial,Affordable,Medium,3,19,High,0.77,1.25,Premium,0,0.76,153.37
3BHK,Chennai,B,Residential,Affordable,Low,7,2,Low,0.73,0.84,Premium,1,0.31,99.94
2BHK,Hyderabad,C,Commercial,High-End,High,3,12,High,0.12,1.46,Basic,1,0.35,227.08
1BHK,Chennai,C,Residential,Mid-Range,Low,12,35,Medium,0.24,1.43,Basic,1,0.82,89.64
1BHK,Bangalore,C,Commercial,High-End,Low,17,10,High,0.59,0.9,Premium,1,0.26,139.42
4BHK,Bangalore,A,Residential,Mid-Range,Low,18,49,Low,0.4,1.07,Advanced,1,0.6,358.71
2BHK,Bangalore,B,Residential,Mid-Range,Medium,7,3,Medium,0.47,1.41,Basic,1,0.62,215.36
4BHK,Bangalore,C,Industrial,Mid-Range,Low,11,47,Medium,0.82,1.17,Advanced,1,0.74,266.26
3BHK,Delhi,C,Commercial,Mid-Range,High,4,35,Low,0.27,1.12,Premium,0,0.23,234.77
1BHK,Mumbai,D,Industrial,Mid-Range,Low,3,9,Medium,0.56,1.22,Basic,0,0.33,88.0
3BHK,Kolkata,B,Residential,Affordable,High,10,14,Medium,0.22,1.38,Advanced,1,0.73,122.51
2BHK,Delhi,B,Commercial,High-End,Medium,1,12,Medium,0.53,1.09,Premium,1,0.23,299.12
2BHK,Chennai,C,Residential,Mid-Range,High,1,25,Low,0.56,1.19,Basic,1,0.6,102.05
2BHK,Mumbai,D,Residential,Affordable,Medium,7,14,High,0.61,1.37,Basic,1,0.27,128.44
3BHK,Kolkata,C,Residential,Mid-Range,High,5,40,Low,0.39,1.49,Premium,0,0.75,153.12
3BHK,Bangalore,B,Residential,High-End,Medium,11,45,Medium,0.43,1.26,Premium,1,0.27,318.61
3BHK,Bangalore,B,Residential,Affordable,Medium,19,44,High,0.6,0.84,Advanced,1,0.35,112.12
2BHK,Bangalore,D,Residential,Mid-Range,Medium,11,50,Low,0.69,1.31,Basic,1,0.28,141.64
3BHK,Kolkata,D,Residential,Mid-Range,Low,1,18,Low,0.57,1.02,Basic,1,0.83,95.58
4BHK,Bangalore,C,Commercial,Mid-Range,Low,11,25,Medium,0.64,1.4,Basic,1,0.46,397.94
2BHK,Kolkata,C,Industrial,Mid-Range,Low,11,25,Low,0.16,1.06,Advanced,1,0.8,57.01
3BHK,Hyderabad,B,Residential,Affordable,Low,16,48,Medium,0.59,1.08,Premium,1,0.76,148.16
2BHK,Delhi,B,Residential,Affordable,Medium,16,49,Low,0.66,1.46,Advanced,1,0.82,167.79
4BHK,Hyderabad,A,Residential,Affordable,Low,2,37,Low,0.89,1.11,Basic,1,0.37,283.16
3BHK,Chennai,B,Residential,Affordable,High,11,23,Medium,0.54,1.37,Basic,1,0.61,153.7
3BHK,Delhi,D,Residential,Mid-Range,Medium,11,11,Low,0.3,0.81,Advanced,1,0.82,131.67
2BHK,Bangalore,D,Residential,Affordable,Medium,20,43,Low,0.84,1.35,Advanced,1,0.52,106.38
3BHK,Bangalore,D,Residential,High-End,High,7,24,Medium,0.68,0.86,Premium,0,0.3,174.04
2BHK,Hyderabad,D,Residential,Mid-Range,High,8,6,Medium,0.57,1.3,Premium,0,0.32,139.58
2BHK,Hyderabad,A,Residential,Affordable,Low,18,23,High,0.44,1.02,Basic,0,0.62,119.88
3BHK,Bangalore,C,Residential,Mid-Range,Medium,7,43,High,0.39,1.17,Basic,0,0.2,179.54
3BHK,Bangalore,C,Residential,Mid-Range,High,16,7,Low,0.31,0.89,Basic,1,0.58,148.21
3BHK,Chennai,D,Residential,Affordable,Low,14,36,Low,0.69,1.11,Basic,1,0.52,85.15
3BHK,Delhi,B,Residential,Mid-Range,High,20,10,High,0.11,1.21,Basic,1,0.68,242.08
3BHK,Mumbai,B,Residential,High-End,Medium,9,23,Medium,0.48,1.03,Basic,0,0.6,358.25
2BHK,Hyderabad,C,Industrial,Affordable,Medium,18,43,Medium,0.21,1.4,Basic,0,0.55,76.47
3BHK,Mumbai,B,Residential,High-End,Low,19,30,High,0.83,1.33,Basic,1,0.47,505.17
2BHK,Mumbai,A,Residential,Affordable,High,16,2,Medium,0.2,0.83,Premium,1,0.65,109.75
2BHK,Mumbai,A,Residential,Affordable,Low,13,8,Low,0.77,0.89,Advanced,1,0.73,159.32
3BHK,Delhi,A,Commercial,Affordable,High,14,14,Medium,0.51,1.15,Premium,1,0.32,246.74
4BHK,Delhi,D,Industrial,Affordable,Medium,2,11,Low,0.35,0.83,Premium,1,0.88,109.85
3BHK,Hyderabad,B,Residential,Affordable,Low,1,7,Medium,0.13,0.94,Basic,0,0.47,112.34
3BHK,Bangalore,D,Residential,Affordable,Medium,5,22,Low,0.37,1.32,Advanced,1,0.54,119.25
1BHK,Hyderabad,D,Residential,Mid-Range,Low,5,29,High,0.24,1.07,Premium,1,0.59,59.89
4BHK,Bangalore,C,Residential,Affordable,Low,4,26,Low,0.85,1.35,Advanced,0,0.85,235.06
2BHK,Kolkata,C,Residential,Mid-Range,Medium,17,4,Medium,0.43,1.5,Basic,0,0.69,105.1
2BHK,Bangalore,B,Residential,High-End,Medium,11,35,High,0.21,1.45,Premium,1,0.84,279.38
3BHK,Kolkata,A,Industrial,High-End,Medium,5,41,High,0.62,1.08,Basic,0,0.33,184.75
1BHK,Mumbai,C,Residential,High-End,High,7,45,Medium,0.39,1.15,Basic,1,0.48,150.82
4BHK,Mumbai,D,Residential,Mid-Range,Low,18,5,High,0.19,1.07,Basic,1,0.34,272.56
1BHK,Hyderabad,C,Residential,Affordable,Low,4,23,High,0.8,1.1,Basic,1,0.4,60.14
1BHK,Chennai,C,Residential,Affordable,Medium,16,42,Low,0.58,1.22,Advanced,1,0.5,49.53
3BHK,Mumbai,C,Residential,Affordable,High,8,46,High,0.27,0.85,Premium,0,0.45,113.98
2BHK,Bangalore,A,Residential,High-End,Medium,14,5,High,0.83,1.31,Basic,1,0.78,350.55
2BHK,Bangalore,C,Residential,Mid-Range,High,20,8,Low,0.54,0.96,Advanced,1,0.29,110.98
2BHK,Delhi,B,Residential,High-End,Medium,10,1,Medium,0.34,1.25,Basic,1,0.3,300.44
3BHK,Bangalore,C,Residential,Mid-Range,Medium,11,27,Medium,0.81,0.86,Advanced,1,0.53,146.35
